restaurant_name,menu_category,menu_item,menu_description,categories,address1,city,zip_code,country,state,rating,review_count,price,ingredient_name
20 spot,boards,cheese,"shredder (c), sweet alyssum (s), three trick pony (g) raspberry jam, toasted nuts, crostini",New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"cheese, crostini, raspberry jam, toasted nuts"
20 spot,boards,chicken liver mousse,"pickled cherries, toasted bread",New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"bread, cherries, chicken liver"
20 spot,dessert,blueberry galette,chantilly cream,New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"blueberry, butter, cream, pastry, sugar"
20 spot,dessert,tres leches cake,apricot compote,New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"apricot, cream, milk, sugar, tres leches cake"
20 spot,mains,braised oxtails,"sungold tomato sauce, shishito peppers",New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"braised oxtails, sauce, shishito peppers, sungold tomato"
20 spot,no proof,"""amaro"" spritz","pathfinder amaro, tonic",New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,pathfinder amaro
20 spot,no proof,"""gin & tonic""",lyre's,New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,gin
20 spot,no proof,amalfi spritz,lyre's,New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"amalfi spritz, lyre's"
20 spot,no proof,blood orange,san pellegrino,New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,blood orange
20 spot,no proof,ginger ale,boylan,New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,ginger ale
20 spot,no proof,grapefruit,san pellegrino,New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"grapefruit, san pellegrino"
20 spot,no proof,root beer,boylan,New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,root beer
20 spot,no proof,sparkling water,san pellegrino (,New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,sparkling water
20 spot,pizza,corn,"mushrooms, green onions, garlic cream, basil, gruyere",New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"basil, cream, garlic, green onions, gruyere, mushrooms"
20 spot,pizza,garlic sausage,"red sauce, zucchini, capers, mozzarella",New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"capers, garlic sausage, mozzarella, red sauce, zucchini"
20 spot,small plates,chilled watermelon,"chrysanthemum greens, snap peas, lime, chile",New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"chile, chrysanthemum greens, lime, snap peas, watermelon"
20 spot,small plates,green beans,"early girl tomatoes, sweet peppers",New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"early girl tomatoes, green beans, sweet peppers"
20 spot,small plates,heirloom beans,"watermelon radish, sicilian olive oil",New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"heirloom beans, sicilian olive oil, watermelon radish"
20 spot,small plates,local halibut crudo,"cilantro serrano chile broth, korean melon",New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"broth, cilantro, halibut, korean melon, serrano chile"
20 spot,small plates,marinated cucumbers,"cherry tomatoes, purslane, za'atar, sesame dressing",New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"cherry tomato, cucumber, purslane, sesame, za'atar"
20 spot,small plates,stone fruit salad,"burrata, walnut pesto",New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"burrata, pesto, stone fruit, walnuts"
20 spot,small plates,sweet corn salad,"arrowhead cabbage, mission figs, salsa macha",New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"arrowhead cabbage, mission figs, salsa macha, sweet corn"
20 spot,snacks,castelvetrano olives,"citrus, rosemary, chili flake",New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"castelvetrano olives, chili flake, rosemary"
20 spot,snacks,house bread,cherry butter,New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"butter, cherry"
20 spot,snacks,maple roasted nuts,sea salt,New American|Wine Bars,3565 20th St,San Francisco,94110.0,US,CA,4.3,270.0,$$,"maple, nuts, sea salt"
3rd cousin,a la carte,*grilled spanish octopus,"butter beans, carrot, pumpkin seed & ramp chimichurri, tapenade",New American,919 Cortland Ave,San Francisco,94110.0,US,CA,4.1,476.0,$$$$,"butter beans, carrot, chimichurri, pumpkin seed, ramp, spanish octopus, tapenade"
3rd cousin,a la carte,*hamachi crudo & crab tartare,"namasu, cherry, yuzu-buttermilk, thai basil, ogo",New American,919 Cortland Ave,San Francisco,94110.0,US,CA,4.1,476.0,$$$$,"buttermilk, cherry, crab, hamachi, namasu, ogo, thai basil, yuzu"
